IMO number	1st name	/ nationality	owner	operator	completion year	shipyard	yard / hull number	engine design	engine type	power output (KW)	maximum speed (Kn)	overall length (m)	overall beam (m)	maximum draught (m)	maximum TEU capacity	container capacity at 14t (TEU)	reefer containers (TEU)	deadweight (ton)	gross tonnage (ton)	handling gear	exname 1	exname 2	exname 3	exname 4	exname 5	exname 6	exname 7	exname 8	exname 9
9360972	EURO SOLID	Marshall Islands	OAK 3 Shipping		2006 / 09	Peters Schiffbau GmbH, Germany	683	MAK	9M43	8.400	18	125,9	21,7	7,8	801	475	200	8.800	7.100	None	EURO SOLID								
8322210	JOHANNGEORGENSTADT	Georgia	Arkas shipping		1985 / 00	Juliana Constructora Gijonesa SA, Spain	305			4.415		122,10	20,10	8,00	440			7.960	6.819		IMKE WEHR	IBN KHALDOUN	IMKE WEHR	TIGER CREEK	VIVIEN A				
9386524	A LA MARINE	Germany	Schepers R & Co		2009 / 04	Peene-Werft GmbH, Germany	552	B&W;	7S50	11.060	19,3	170	25,1	9,5	1440	1065	226	20.313	15.995	None									
9214898	A.P. MLLER	Denmark	Maersk Line	Maersk	2000 / 06	Odense Steel Shipyard AS, Denmark	177	B&W;	12K90MC	54.853	25,0	347,00	42,80	14,00	10457	6600	700	104.696	91.690	None									
8318001	QIU HE	China	COSCO Container Lines	COSCO	1984 / 00	Flensburger Schiffsbau-Gesellschaft MbH & Co. KG, Germany	2018	B&W;	6L70MC	10.051	18,5	171,00	28,70	10,90	1318		54	25.800	19.732	None									
9521564	AAL BANGKOK	Singapore	Schller Holding	AAL	2012 / 05	Sekwang Shipyard, South Korea	130					149,00	22,00		1000			18.763	14.053	2x									
9498341	AAL BRISBANE	Marshall Islands	Schller Holding	AAL	2009 / 12	Shandong Huanghai Shipyard, China	HCY 093	SUL	7RT-flex50	11.640	16,4	193,80	28,20	11,20	2029		145	31.000	25.000	2 x 350									
9498470	AAL DALIAN	Marshall Islands	Schller Holding	AAL	2013 / 11	Shandong Huanghai Shipyard, China	HCY 101	SUL	7RT-flex50	11.640	16,4	193,80	28,20	11,20	2029		145	31.000	25.000	2 x 350									
9521540	AAL DAMPIER	Singapore	Schller Holding	AAL	2011 / 08	Sekwang Shipyard, South Korea	128					149,00	22,00		1000			18.763	14.053	2x									
9521095	AAL FREMANTLE	Singapore	Schller Holding	AAL	2011 / 02	Sekwang Shipyard, South Korea	127					149,00	22,00		1000			18.763	14.053	2x									
